orderid,customerid
5,0
15,0
21,0
29,0
38,0
42,0
45,0
48,0
49,0
51,0
53,0
61,0
63,0
69,0
76,0
82,0
85,0
91,0
93,0
97,0
100,0
106,0
113,0
119,0
122,0
126,0
129,0
133,0
135,0
140,0
144,0
163,0
164,0
167,0
173,0
174,0
177,0
180,0
185,0
190,0
200,0
203,0
208,0
210,0
224,0
230,0
234,0
237,0
241,0
243,0
250,0
258,0
265,0
267,0
273,0
281,0
284,0
297,0
298,0
300,0
302,0
304,0
312,0
317,0
322,0
324,0
325,0
333,0
337,0
346,0
349,0
350,0
351,0
353,0
355,0
356,0
359,0
363,0
364,0
374,0
392,0
401,0
404,0
421,0
424,0
443,0
444,0
446,0
448,0
452,0
454,0
457,0
465,0
480,0
484,0
494,0
509,0
520,0
526,0
529,0
535,0
547,0
548,0
558,0
561,0
568,0
574,0
587,0
591,0
616,0
622,0
630,0
639,0
640,0
647,0
651,0
653,0
667,0
668,0
669,0
672,0
674,0
675,0
680,0
683,0
685,0
686,0
688,0
691,0
699,0
700,0
703,0
709,0
710,0
717,0
718,0
722,0
725,0
734,0
765,0
767,0
769,0
775,0
790,0
798,0
803,0
815,0
821,0
829,0
835,0
842,0
847,0
849,0
857,0
861,0
865,0
872,0
874,0
875,0
881,0
892,0
897,0
909,0
938,0
942,0
945,0
954,0
955,0
958,0
970,0
984,0
986,0
995,0
1004,0
1008,0
1014,0
1018,0
1020,0
1021,0
1023,0
1028,0
1030,0
1039,0
1040,0
1048,0
1056,0
1058,0
1061,0
1067,0
1068,0
1071,0
1073,0
1076,0
1083,0
1084,0
1085,0
1086,0
1087,0
1096,0
1097,0
1099,0
1102,0
1105,0
1106,0
1110,0
1115,0
1120,0
1121,0
1127,0
1152,0
1157,0
1171,0
1176,0
1177,0
1183,0
1189,0
1191,0
1192,0
1193,0
1211,0
1215,0
1219,0
1231,0
1240,0
1262,0
1267,0
1277,0
1279,0
1284,0
1286,0
1290,0
1296,0
1299,0
1303,0
1304,0
1307,0
1317,0
1319,0
1329,0
1332,0
1338,0
1343,0
1352,0
1368,0
1370,0
1371,0
1375,0
1379,0
1383,0
1385,0
1396,0
1400,0
1422,0
1432,0
1447,0
1454,0
1473,0
1480,0
1483,0
1484,0
1487,0
1491,0
1496,0
1503,0
1513,0
1527,0
1537,0
1569,0
1575,0
1580,0
1590,0
1592,0
1594,0
1599,0
1601,0
1610,0
1627,0
1635,0
1642,0
1651,0
1654,0
1655,0
1656,0
1659,0
1670,0
1671,0
1672,0
1681,0
1688,0
1691,0
1693,0
1699,0
1708,0
1711,0
1716,0
1730,0
1740,0
1741,0
1748,0
1762,0
1770,0
1786,0
1787,0
1791,0
1793,0
1798,0
1799,0
1807,0
1808,0
1810,0
1820,0
1821,0
1832,0
1834,0
1836,0
1850,0
1856,0
1866,0
1868,0
1877,0
1884,0
1887,0
1901,0
1902,0
1906,0
1910,0
1911,0
1914,0
1920,0
1921,0
1923,0
1927,0
1939,0
1947,0
1955,0
1959,0
1980,0
1982,0
1988,0
1995,0
2008,0
2010,0
2036,0
2039,0
2041,0
2049,0
2051,0
2055,0
2063,0
2068,0
2076,0
2077,0
2082,0
2094,0
2102,0
2104,0
2110,0
2113,0
2115,0
2137,0
2138,0
2146,0
2158,0
2159,0
2160,0
2163,0
2168,0
2169,0
2171,0
2182,0
2192,0
2193,0
2208,0
2214,0
2222,0
2223,0
2229,0
2230,0
2240,0
2241,0
2253,0
2254,0
2256,0
2262,0
2270,0
2279,0
2282,0
2288,0
2294,0
2301,0
2302,0
2304,0
2318,0
2319,0
2321,0
2326,0
2337,0
2346,0
2360,0
2361,0
2364,0
