menuitemid,orderid,quantity
3,5,2
4,5,1
1,5,1
1,15,2
5,15,1
5,21,2
1,21,1
3,21,1
1,29,2
5,29,1
2,38,2
3,38,1
5,38,1
4,42,2
1,42,1
2,45,2
5,45,1
4,45,1
3,48,2
4,48,1
1,49,1
2,49,2
3,51,2
1,51,1
3,53,2
4,53,2
5,61,2
3,61,1
4,61,1
2,61,1
3,63,2
4,63,1
2,63,1
5,63,1
2,69,1
3,69,1
5,69,2
4,69,1
4,76,4
5,82,2
3,82,1
2,82,1
5,85,2
3,85,3
5,91,2
4,91,2
1,91,1
3,93,2
5,93,2
4,97,1
3,97,2
2,97,1
5,97,1
5,100,3
4,100,2
5,106,3
2,106,1
4,106,1
3,113,1
4,113,1
5,113,1
1,113,1
1,119,1
3,119,1
5,119,1
2,119,1
2,122,1
1,122,1
3,122,1
5,122,1
2,126,1
4,126,1
3,126,3
1,129,2
3,129,1
4,129,1
2,129,1
3,133,1
5,133,2
4,133,2
1,135,3
3,135,1
2,140,1
4,140,2
5,140,1
4,144,1
5,144,2
3,144,1
1,144,1
5,163,3
3,163,1
3,164,3
2,164,1
4,167,3
3,167,1
5,167,1
5,173,1
4,173,2
1,173,1
3,174,1
1,174,2
5,174,1
2,174,1
1,177,4
3,177,1
4,180,2
5,180,1
3,180,1
1,185,2
4,185,1
2,185,1
3,185,1
2,190,1
1,190,1
4,190,2
2,200,1
3,200,2
5,200,1
4,203,2
5,203,3
5,208,2
2,208,2
3,208,1
5,210,2
3,210,1
4,210,1
1,210,1
4,224,1
3,224,1
1,224,1
2,224,2
4,230,3
1,230,1
3,234,1
4,234,1
2,234,2
5,237,2
1,237,2
2,237,1
2,241,4
3,243,3
5,243,1
4,243,1
1,250,1
2,250,3
3,250,1
2,258,1
5,258,1
3,258,1
1,258,1
1,265,1
2,265,1
3,265,1
4,265,1
5,265,1
5,267,1
3,267,1
4,267,1
2,267,1
5,273,2
3,273,1
1,273,1
2,281,1
4,281,2
1,281,1
1,284,1
2,284,2
4,284,1
5,297,1
3,297,1
4,297,1
2,297,1
4,298,1
5,298,2
3,298,1
5,300,1
2,300,2
1,300,2
1,302,3
5,302,2
2,304,1
4,304,2
3,304,2
2,312,3
5,312,1
3,312,1
3,317,1
2,317,2
5,317,1
1,322,1
5,322,2
4,322,1
3,322,1
3,324,1
1,324,2
4,324,1
5,324,1
4,325,1
3,325,2
5,325,1
5,333,2
1,333,2
2,333,1
1,337,1
3,337,1
4,337,1
5,337,1
4,346,3
5,346,1
1,349,2
3,349,1
5,349,1
5,350,3
2,350,1
3,350,1
3,351,1
4,351,1
1,351,2
4,353,3
2,353,1
5,355,1
2,355,2
3,355,1
2,356,1
3,356,2
4,356,1
2,359,2
1,359,1
3,359,1
1,363,1
3,363,1
5,363,1
2,363,1
4,364,1
2,364,2
3,364,1
4,374,3
3,374,1
1,374,1
1,392,1
3,392,2
2,392,1
3,401,2
5,401,1
2,401,2
3,404,1
1,404,1
4,404,1
5,404,1
1,421,2
3,421,2
4,424,3
2,424,1
1,443,1
5,443,2
4,443,1
2,444,1
5,444,3
4,444,1
1,446,1
4,446,2
2,446,1
3,448,2
2,448,1
4,448,1
5,448,1
3,452,1
1,452,2
2,452,1
1,454,1
4,454,2
2,454,2
3,457,2
2,457,1
5,457,1
3,465,3
5,465,1
3,480,2
1,480,1
2,480,1
5,480,1
5,484,2
2,484,1
4,484,2
1,494,1
5,494,2
2,494,1
4,509,1
3,509,1
2,509,1
1,509,1
5,520,2
2,520,1
1,520,2
5,526,1
1,526,3
2,526,1
2,529,1
4,529,2
1,529,1
2,535,1
1,535,2
3,535,1
4,547,1
2,547,1
5,547,1
3,547,1
4,548,2
1,548,1
2,558,1
5,558,1
1,558,1
1,561,2
2,561,1
5,561,1
1,568,1
5,568,1
2,568,1
5,574,1
4,574,1
2,574,1
1,574,1
1,587,1
5,587,2
3,587,1
4,591,1
5,591,1
3,591,1
5,616,2
1,616,1
3,616,1
2,622,2
5,622,1
4,622,1
5,630,2
1,630,1
2,630,1
3,639,1
2,639,2
1,639,2
2,640,3
3,640,1
5,647,3
3,647,1
1,651,1
3,651,2
2,651,1
5,653,2
1,653,3
4,667,1
2,667,1
1,667,1
5,667,2
5,668,2
1,668,2
4,668,1
3,669,1
4,669,2
1,672,2
5,672,1
3,674,1
2,674,1
5,674,1
5,675,2
4,675,1
3,680,2
5,680,1
2,680,1
2,683,1
4,683,1
1,683,1
5,685,3
3,686,1
5,686,1
4,686,1
2,688,2
1,688,1
1,691,2
3,691,1
3,699,1
5,699,1
4,699,1
3,700,1
5,700,2
2,703,2
4,703,1
2,709,1
3,709,1
4,709,1
1,710,1
4,710,1
3,710,1
2,717,1
3,717,1
5,717,1
2,718,2
1,718,1
3,718,1
4,722,2
3,722,2
2,725,3
1,725,1
1,734,1
5,734,1
3,734,1
3,765,2
1,765,1
5,765,2
1,767,2
4,767,1
5,767,1
5,769,1
4,769,2
