id,totalprice,date_placed
5,48.5,'2022-11-27 22:00:11.448371'
15,35.0,'2022-11-27 13:00:11.448371'
21,53.0,'2022-11-27 13:00:11.448371'
29,35.0,'2022-11-27 11:30:11.448371'
38,52.0,'2022-11-27 13:30:11.448371'
42,35.0,'2022-11-27 21:30:11.448371'
45,51.5,'2022-11-27 16:00:11.448371'
48,38.5,'2022-11-27 22:30:11.448371'
49,34.0,'2022-11-27 16:30:11.448371'
51,36.0,'2022-11-27 16:30:11.448371'
53,51.0,'2022-11-27 20:30:11.448371'
61,67.5,'2022-11-28 21:00:11.448371'
63,65.5,'2022-11-28 20:30:11.448371'
69,67.5,'2022-11-28 21:30:11.448371'
76,50.0,'2022-11-28 20:30:11.448371'
82,55.0,'2022-11-28 16:00:11.448371'
85,69.0,'2022-11-28 15:30:11.448371'
91,65.0,'2022-11-28 16:00:11.448371'
93,56.0,'2022-11-28 20:00:11.448371'
97,65.5,'2022-11-28 20:30:11.448371'
100,70.0,'2022-11-28 21:30:11.448371'
106,69.5,'2022-11-28 15:00:11.448371'
113,50.5,'2022-11-29 17:30:11.448371'
119,50.0,'2022-11-29 12:30:11.448371'
122,50.0,'2022-11-29 12:30:11.448371'
126,63.5,'2022-11-29 21:30:11.448371'
129,57.5,'2022-11-29 22:30:11.448371'
133,68.0,'2022-11-29 15:00:11.448371'
135,43.0,'2022-11-29 15:30:11.448371'
140,52.0,'2022-11-29 21:30:11.448371'
144,65.5,'2022-11-29 18:30:11.448371'
163,58.0,'2022-11-29 19:00:11.448371'
164,51.0,'2022-11-29 19:00:11.448371'
167,65.5,'2022-11-29 11:30:11.448371'
173,50.0,'2022-11-29 15:30:11.448371'
174,60.0,'2022-11-29 18:00:11.448371'
177,53.0,'2022-11-29 11:00:11.448371'
180,53.0,'2022-11-29 12:00:11.448371'
185,57.5,'2022-11-30 19:00:11.448371'
190,47.0,'2022-11-30 14:00:11.448371'
200,53.0,'2022-11-30 21:30:11.448371'
203,70.0,'2022-11-30 12:30:11.448371'
208,67.0,'2022-11-30 18:00:11.448371'
210,65.5,'2022-11-30 17:30:11.448371'
224,59.5,'2022-11-30 22:30:11.448371'
230,47.5,'2022-11-30 20:00:11.448371'
234,49.5,'2022-11-30 21:30:11.448371'
237,62.0,'2022-11-30 21:00:11.448371'
241,48.0,'2022-11-30 20:00:11.448371'
243,66.5,'2022-11-30 11:00:11.448371'
250,59.0,'2022-12-01 12:00:11.448371'
258,50.0,'2022-12-01 12:30:11.448371'
265,62.5,'2022-12-01 19:00:11.448371'
267,52.5,'2022-12-01 20:00:11.448371'
273,53.0,'2022-12-01 14:00:11.448371'
281,47.0,'2022-12-01 14:00:11.448371'
284,46.5,'2022-12-01 13:00:11.448371'
297,52.5,'2022-12-01 15:30:11.448371'
298,55.5,'2022-12-01 20:30:11.448371'
300,59.0,'2022-12-01 13:00:11.448371'
302,60.0,'2022-12-01 11:00:11.448371'
304,63.0,'2022-12-01 11:00:11.448371'
312,64.0,'2022-12-02 17:00:11.448371'
317,52.0,'2022-12-02 16:00:11.448371'
322,65.5,'2022-12-02 13:00:11.448371'
324,60.5,'2022-12-02 14:30:11.448371'
325,53.5,'2022-12-02 18:30:11.448371'
333,62.0,'2022-12-02 11:30:11.448371'
337,50.5,'2022-12-02 13:00:11.448371'
346,52.5,'2022-12-02 15:30:11.448371'
349,48.0,'2022-12-02 13:30:11.448371'
350,70.0,'2022-12-02 17:00:11.448371'
351,45.5,'2022-12-02 12:30:11.448371'
353,49.5,'2022-12-02 15:00:11.448371'
355,52.0,'2022-12-02 18:30:11.448371'
356,50.5,'2022-12-02 14:00:11.448371'
359,47.0,'2022-12-02 14:30:11.448371'
363,50.0,'2022-12-02 19:30:11.448371'
